APC ItemCode,Colour
30161803SD00694,TEX  RAL 3027
56101999SD25934,TEX  RAL 3027 + Tex Bond White
56101999SD11214,Tex Bond White
56101999SD25935,TEX  RAL 3027
56101999SD25936,TEX  RAL 3027
30161803SD00458,Tex. Shell Wine Red
56101999SD25933,Tex. Shell Wine Red + Tex Bond White
56101999SD11214,Tex Bond White
56101999SD25932,Tex. Shell Wine Red
56101999SD25931,Tex. Shell Wine Red
30161803SD00315,Tex.Phiroja Blue
56101999SD11215,Tex.Phiroja Blue + Tex Bond White
56101999SD11214,Tex Bond White
56101999SD11216,Tex.Phiroja Blue
56101999SD11169,Tex.Phiroja Blue
30161803SD00325,Tex Bond White
56101999SD11212,Tex Bond White
56101999SD11214,Tex Bond White
56101999SD11213,Tex Bond White
56101999SD11166,Tex Bond White
30161803SD00693,TEX  RAL 3027
56101999SD16479,TEX  RAL 3027 + Tex Bond White
56101999SD11207,Tex Bond White
56101999SD16480,TEX  RAL 3027
56101999SD16481,TEX  RAL 3027
30161803SD00307,Tex. Shell Wine Red
56101999SD11208,Tex. Shell Wine Red + Tex Bond White
56101999SD11207,Tex Bond White
56101999SD11209,Tex. Shell Wine Red
56101999SD11160,Tex. Shell Wine Red
30161803SD00308,Tex.Phiroja Blue
56101999SD11210,Tex.Phiroja Blue + Tex Bond White
56101999SD11207,Tex Bond White
56101999SD11211,Tex.Phiroja Blue
56101999SD11164,Tex.Phiroja Blue
30161803SD00309,Tex Bond White
56101999SD11205,Tex Bond White
56101999SD11207,Tex Bond White
56101999SD11206,Tex Bond White
56101999SD11155,Tex Bond White
30161803SD00775,Tex.DEEP PURPLE
56101999SD18697,Tex.DEEP PURPLE  + Tex Bond White
56101999SD11207,Tex Bond White
56101999SD18698,Tex.DEEP PURPLE
56101999SD18699,Tex.DEEP PURPLE
30161803SD00696,TEX  RAL 3027
56101999SD16499,TEX  RAL 3027 + Tex Bond White
56101999SD11186,Tex Bond White
56101999SD16500,TEX  RAL 3027
56101999SD16501,TEX  RAL 3027
30161803SD00332,Tex. Shell Wine Red
56101999SD11188,Tex. Shell Wine Red + Tex Bond White
56101999SD11186,Tex Bond White
56101999SD11193,Tex. Shell Wine Red
56101999SD11152,Tex. Shell Wine Red
30161803SD00637,Tex.Phiroja Blue
56101999SD25930,Tex.Phiroja Blue + Tex Bond White
56101999SD11186,Tex Bond White
56101999SD25929,Tex.Phiroja Blue
56101999SD25928,Tex.Phiroja Blue
30161803SD00338,Tex Bond White
56101999SD11182,Tex Bond White
56101999SD11186,Tex Bond White
56101999SD11183,Tex Bond White
56101999SD11123,Tex Bond White
30161803SD00695,TEX  RAL 3027
56101999SD16496,TEX  RAL 3027 + Tex Bond White
56101999SD11133,Tex Bond White
56101999SD16497,TEX  RAL 3027
56101999SD16498,TEX  RAL 3027
30161803SD00344,Tex. Shell Wine Red
56101999SD11180,Tex. Shell Wine Red + Tex Bond White
56101999SD11133,Tex Bond White
56101999SD11138,Tex. Shell Wine Red
56101999SD11140,Tex. Shell Wine Red
30161803SD00346,Tex.Phiroja Blue
56101999SD11181,Tex.Phiroja Blue + Tex Bond White
56101999SD11133,Tex Bond White
56101999SD11143,Tex.Phiroja Blue
56101999SD11146,Tex.Phiroja Blue
30161803SD00349,Tex Bond White
56101999SD11176,Tex Bond White
56101999SD11133,Tex Bond White
56101999SD11125,Tex Bond White
56101999SD11128,Tex Bond White
30161803SD01000,TEX BERRY RED
56101999SD25376,TEX BERRY RED(HANDLE TEX BERRY RED)
56101999SD11133,TEX BOND WHITE
56101999SD25377, TEX BERRY RED
56101999SD25378, TEX BERRY RED
30161803SD01001,TEX BERRY RED
56101999SD25379,TEX BERRY RED(HANDLE TEX BERRY RED)
56101999SD11186,TEX BOND WHITE
56101999SD25380, TEX BERRY RED
56101999SD25381, TEX BERRY RED
30161803SD01002,TEX BERRY RED
56101999SD25373,TEX BERRY RED(HANDLE TEX BERRY RED)
56101999SD11214,TEX BOND WHITE
56101999SD25374, TEX BERRY RED
56101999SD25375, TEX BERRY RED
30161803SD01003,TEX BERRY RED
56101999SD25370,TEX BERRY RED(HANDLE TEX BERRY RED)
56101999SD11207,TEX BOND WHITE
56101999SD25371, TEX BERRY RED
56101999SD25372, TEX BERRY RED
56101905DG08971,Tex Bond White
56101905DG18151,TEX PHIROJA BLUE
56101905DG21673,TEX BERRY RED
56101905DG08975,Tex Bond White
56101905DG18152,TEX PHIROJA BLUE
56101905DG21675,TEX BERRY RED
31162801DG00033,NA
31162801DG00033,NA
56101905DG08992,Tex Bond White
56101905DG21128,Tex Bond White
56101905DG21225,TEX PHIROJA BLUE
56101905DG21227,NA
56101905DG21657,TEX BERRY RED
56101905DG21709,TEX BERRY RED
31162801DG00034,NA
56101905DG09000,Tex Bond White
56101905DG21041,TEX ROYAL BLUE
56101905DG21226,TEX PHIROJA BLUE
56101905DG21659,TEX BERRY RED
56101905DG21712,TEX BERRY RED
56101905DG09026,TEX PHIROJA BLUE
56101905DG09049,TEX BOND WHITE
56101905DG09207,TEX SHELL WINE RED
56101905DG09226,TEX PHIROJA BLUE
56101905DG09250,BOND WHITE
56101905DG09717,TEX SHELL WINE RED
56101905DG13406,TEX  RAL 3027
56101905DG13738,TEX  RAL 3027
56101905DG15533,TEX DEEP PURPLE 3555
56101905DG15594,TEX DEEP PURPLE 3555
56101905DG18156,TEX PHIROJA BLUE
56101905DG18166,NA
56101905DG21678,TEX BERRY RED
56101905DG21693,TEX BERRY RED
56101905DG09088,TEX BOND WHITE
56101905DG09166,TEX PHIROJA BLUE
56101905DG09215,TEX BOND WHITE
56101905DG13049,NA
56101905DG13728,TEX  RAL 3027
56101905DG15561,TEX DEEP PURPLE 3555
56101905DG16722,NA
56101905DG18204,TEX PHIROJA BLUE
56101905DG21661,TEX BERRY RED
56101905DG09052,TEX BOND WHITE
56101905DG09203,TEX SHELL WINE RED
56101905DG09224,TEX PHIROJA BLUE
56101905DG09249,TEX PHIROJA BLUE
56101905DG09704,TEX PHIROJA BLUE
56101905DG09720,TEX SHELL WINE RED
56101905DG13405,TEX  RAL 3027
56101905DG13739,TEX  RAL 3027
56101905DG15532,TEX DEEP PURPLE 3555
56101905DG15595,TEX DEEP PURPLE 3555
56101905DG18155,TEX PHIROJA BLUE
56101905DG18167,NA
56101905DG21677,TEX BERRY RED
56101905DG21692,TEX BERRY RED
56101905DG09093,TEX SHELL WINE RED
56101905DG09170,TEX PHIROJA BLUE
56101905DG09219,TEX BOND WHITE
56101905DG13729,TEX  RAL 3027
56101905DG13804,BLUSH RED
56101905DG15562,TEX DEEP PURPLE 3555
56101905DG15622,TEX DEEP PURPLE 3555
56101905DG18131,TEX PHIROJA BLUE
56101905DG21662,TEX BERRY RED
