DATE,PRODUCTION NO,ITEMCODE,DESCRIPTION,COLOUR,QTY,PRIORITY
1,1,30161803SD00156,SLINE FULL LOCKER R Ivy,ROYAL IVORY,117,1
1,1,30161803SD00171,SLINE 4SH Bd R Ivy,ROYAL IVORY,61,1
1,1,30161803SD00170,SLINE 2SH Bd R Ivy,ROYAL IVORY,22,1
1,1,30161803SD00653,SLINE 2 DR Royal Ivory Plus,ROYAL IVORY,222,1
1,1,30161803SD00655,SLINE 2 Dr Russet Plus,RUSSET,90,1
1,1,30161803SD00654,SLINE 2 Dr Pacific Blue Plus,PACIFIC BLUE,85,1
1,1,30161803SD00800,KRE X2 BsUnt900Precoat Dr Wal,WALNUT,20,2
1,1,30161803SD00798,KRE X2 BsUnt500Precoat Dr Wal,WALNUT,29,2
1,1,30161803SD00098,KRE X2 BsUnt1000mtl Dr Lt cr,LIGHT CREAM,23,2
1,1,30161803SD00077,KRE X2 BsUnt450Mtl Dr Lt crm,LIGHT CREAM,65,2
1,1,30161803SD00028,KRE X2 450Mainunt Bd Lt crm,LIGHT CREAM,100,2
1,1,30161803SD00309,Slide compact BndWhit TxPlus,TEX BOND WHITE,16,2
1,1,30161803SD00728,Platina Pro BondWhit/TxCrRd,TEX CARMINE RED,29,2
1,1,30161803SD00344,Slide Pro Shel Red Tx,TEX SHELL WINE RED,33,2