"DATE","PRODUCTION NO","ITEMCODE","DESCRIPTION","COLOUR","QTY","PRIORITY"
"2022-05-26","K2W001355","56101999SD11214","Slide & Store COMPACT Packet 2","Tex Bond White","50","0"
"2022-05-26","K2W001354","56101999SD11212","Slide & Store COMPACT Packet 1","Tex Bond White","50","0"
"2022-05-26","K2W001356","56101999SD11213","Slide & Store COMPACT Packet 3","Tex Bond White","50","0"
"2022-05-26","K2W001357","56101999SD11166","Slide & Store COMPACT Packet 4","Tex Bond White","50","0"
"2022-05-26","K2F002887","30161803SD00325","Slide & Store COMPACT","Tex Bond White","50","0"
"2022-05-26","K2F002911","30161803SD00653","SLIMLINE 2 DR ","ROYAL IVORY","150","0"
"2022-05-26","K2F002912","30161803SD00661","SLIMLINE 3 DR ","ROYAL IVORY","100","0"
"2022-05-26","K2F002862","30161803SD00173","SLINE 2DR LOCKER Bd R Ivy","ROYAL IVORY","200","0"
"2022-05-26","K2F002916","WON000030-STMFAG1900I","APPLIANCE GARAGE TALL UNIT 560 D _1900H_900W","RAL WHITE","10","0"
"2022-05-26","K2F002917","WON000030-STMFUCT56HL","CORNER TALL UNIT_560 D_1900H_1000W","RAL WHITE","10","0"
"2022-05-26","K2F002915","WON000030-STMFNPT3095","NARROW PULLOUT TALL UNIT 560 D_1900H_300W","RAL WHITE","10","0"
"2022-05-26","K2F002914","WON000030-STMFNPT2095","NARROW PULLOUT TALL UNIT 560 D_1900H_200W","RAL WHITE","10","0"
"2022-05-26","K2F002898","WOA017100-56101999SD27146","APO OPT LD MAIN BDY DR_1200W","BOND White","2","0"
"2022-05-26","K2F002899","WOA017100-56101999SD27166","APO OPT SD MAIN BDY 1200W","BOND White","2","0"
"2022-05-26","K2F002900","WOA017100-56101999SD27202","APO OPT TD MAIN BDY 1200W_7FT","BOND White","14","0"
"2022-05-26","K2F002896","WOA017100-56101999SD27066","APO OPT TD ADN BDY 1200W_7FT","BOND White","28","0"
"2022-05-26","K2F002895","WOA017100-56101999SD26993","APO OPT PKT LD/SD ADN BD 1200W","BOND White","8","0"
"2022-05-26","K2F002897","WOA017100-56101999SD27127","APO OPT PKT FR 4 SHELVS 1200W","BOND White","56","0"
"2022-05-26","K2F002901","WOA017100-56101999SD28857","APO OPT PKT FR 2SHLVS 1200W","BOND White","4","0"
"2022-05-26","K2F002894","WOA017100-56101999SD26982","APO OPT PKT BK PNL&SLVS 1200W(STO-4533)","BOND White","54","0"
"2022-05-26","K2F002910","30161803SD00337","KREATION ADDON BODY 900","LIGHT CREAM","50","0"
"2022-05-26","K2F002909","30161803SD00334","KREATION ADDON BODY 450","LIGHT CREAM","100","0"
"2022-05-26","K2F002884","30161803SD00028","KREATION MAIN BODY 450","LIGHT CREAM","100","0"
"2022-05-26","K2F002886","30161803SD00080","KREATION MAIN DOOR 450 PRECOATED","DARKWOOD/LC","100","0"
"2022-05-26","K2F002866","30161803SD00083","KREATION MAIN DOOR 500","SHELL WINE RED","75","0"
"2022-05-26","K2F002865","30161803SD00068","KREATION OHU DOOR 1000","SHELLWINE RED","50","0"
"2022-05-26","K2F002873","30161803SD00654","SLIMLINE 2 DOOR","PACIFIC BLUE","150","0"
"2022-05-27","K2F002921","56101702SD00045","4DR VFC(GFA)","PRINCE GREY","75","1"
"2022-05-27","K2F002922","56101702SD00045","4DR VFC","PRINCE GREY","100","1"
"2022-05-27","K2F002923","56101702SD00044","2 DR VFC","PRINCE GREY","75","1"
"2022-05-27","K2F002867","30161803SD00173","SLINE 2DR LOCKER Body","ROYAL IVORY","200","1"
"2022-05-27","K2F002930","30161803SD00653","SLIMLINE 2 DOOR","ROYAL IVORY","150","1"
"2022-05-27","K2F002929","30161803SD00993","SLIMLINE 3 DOOR","SEA PINE","100","1"
"2022-05-27","K2F002918","30161803SD00336","KREATION ADDON BODY 800","LIGHT CREAM","100","1"
"2022-05-27","K2F002919","56121701SD00346","GAIN ADDON BODY  MD.TW KD 800mm","MEDIVAL TOWN","10","1"
"2022-05-27","K2F002920","56121701SD00334","GAIN MAIN BODY MD.TW KD 400mm","MEDIVAL TOWN","10","1"
"2022-05-27","K2F002927","56121701SD00404","GAIN MAIN DOOR 400","MEDIVAL TOWN","10","1"
"2022-05-27","K2F002928","56121701SD00407","GAIN MAIN DOOR 800","MEDIVAL TOWN","10","1"
"2022-05-27","K2F002926","56121701SD00441","GAIN MAIN DOOR 800","TEX BOND WHITE","25","1"
"2022-05-27","K2F002925","56121701SD00440","GAIN MAIN DOOR 500","TEX BOND WHITE","30","1"
"2022-05-27","K2W001367","56101999SD11133","Slide & Store PRO Packet 2","Tex Bond White","50","1"
"2022-05-27","K2W001366","56101999SD11181","Slide & Store PRO Packet 1","Tex.Phiroja Blue + Tex Bond White","50","1"
"2022-05-27","K2W001369","56101999SD11146","Slide & Store PRO Packet 4","Tex.Phiroja Blue","50","1"
"2022-05-27","K2W001368","56101999SD11143","Slide & Store PRO Packet 3","Tex.Phiroja Blue","50","1"
"2022-05-27","K2F002924","30161803SD00346","Slide & Store PRO","Tex.Phiroja Blue","50","1"